"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1882","fullscreen","0","null","2898","p69wrnpn1ap","penguin","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","3395","p69wrnpn1ap","penguin","false","[]","[]","[]","","","","","","","","","","",""
"","98799","html-keyboard-response","2","2.0.0","102194","p69wrnpn1ap","penguin","","","","","Welcome to the experiment. Press any key to begin.","AudioVolumeMute","","","","","","","","",""
"","12609","survey-text","3","2.0.0","114808","p69wrnpn1ap","penguin","","","","","","{""participant_id"":""penguin""}","","","","","","","","",""
"","6516","html-keyboard-response","4","2.0.0","121326","p69wrnpn1ap","penguin","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","8029","html-keyboard-response","5","2.0.0","129355","p69wrnpn1ap","penguin","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","152604","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a wug. Can you give Mr. Frog all the other wugs?</p>
              <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the wugs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg""]","[0,3,5,19,3,5]","[3914,11407,12788,17393,19664,20496]","[""select"",""select"",""select"",""select"",""unselect"",""unselect""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","23245"
"","","html-button-response","7","2.0.0","164808","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rif. Can you give Mr. Frog all the other rifs?</p>
              <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rifs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[0,1]","[1547,2095]","[""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","12202"
"","","html-button-response","8","2.0.0","172123","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a mep. Can you give Mr. Frog all the other meps?</p>
              <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the meps.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]","[2,17]","[1483,4565]","[""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]","7312"
"","","html-button-response","9","2.0.0","185691","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>","","3-item","vehicles","basic","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg""]","[10,11,16,18]","[4254,5051,7942,8902]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg""]","13565"
"","","html-button-response","10","2.0.0","190963","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c3_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some wugs. Can you give Mr. Frog all the other wugs?</p>
                                 <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the wugs.</p>","","3-item","animals","subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","[3,14]","[2475,3912]","[""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","5270"
"","","html-button-response","11","2.0.0","199091","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c3_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some feps. Can you give Mr. Frog all the other feps?</p>
                                 <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the feps.</p>","","3-item","animals","basic","[""stimuli/c3_sub5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg""]","[0,6,9,16]","[1884,3599,4460,7181]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg""]","8126"
"","","html-button-response","12","2.0.0","205781","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c2_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some rifs. Can you give Mr. Frog all the other rifs?</p>
                                 <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the rifs.</p>","","3-item","vehicles","subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[2,21]","[1956,5749]","[""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","6688"
"","","html-button-response","13","2.0.0","220205","p69wrnpn1ap","penguin","","","","","<img src=""stimuli/c2_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tobs. Can you give Mr. Frog all the other tobs?</p>
                                 <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tobs.</p>","","3-item","vehicles","superordinate","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup6.jpg""]","[4,3,6,8,19]","[4829,5492,6588,7421,9051]","[""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup6.jpg""]","14422"
