"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1456","fullscreen","0","null","2463","puq2nv5pqh4","llama","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","2759","puq2nv5pqh4","llama","false","[]","[]","[]","","","","","","","","","","",""
"","858","html-keyboard-response","2","2.0.0","3619","puq2nv5pqh4","llama","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","2519","survey-text","3","2.0.0","6142","puq2nv5pqh4","llama","","","","","","{""participant_id"":""llama""}","","","","","","","","",""
"","8263","html-keyboard-response","4","2.0.0","14406","puq2nv5pqh4","llama","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","30344","html-keyboard-response","5","2.0.0","44751","puq2nv5pqh4","llama","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","67582","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a sib. Can you give Mr. Frog all the other sibs?</p>
              <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the sibs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg""]","[0,6,0,6,20,7,20,7]","[8310,8860,9500,10222,12837,13840,14842,15654]","[""select"",""select"",""unselect"",""unselect"",""select"",""select"",""unselect"",""unselect""]","[]","22827"
"","","html-button-response","7","2.0.0","80557","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tob. Can you give Mr. Frog all the other tobs?</p>
              <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tobs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas3.jpg""]","[1,1,3,3,19,19,12,12]","[4957,5104,5588,5727,10397,10544,11061,11191]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect""]","[]","12970"
"","","html-button-response","8","2.0.0","89196","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a fep. Can you give Mr. Frog all the other feps?</p>
              <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the feps.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas4.jpg""]","[2,2,0,0,14,14,10,10]","[1641,1769,2515,2702,3373,3528,4385,4580]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect""]","[]","8635"
"","","html-button-response","9","2.0.0","107961","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c1_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tevs. Can you give Mr. Frog all the other tevs?</p>
                                 <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tevs.</p>","","3-item","vegetables","superordinate","[""stimuli/c1_sup5.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup4.jpg"",""stimuli/c1_sup4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sup3.jpg"",""stimuli/c1_sup3.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup6.jpg""]","[2,2,1,1,7,7,19,19,18,18,12,12,16,16,11,11,12,12,12,12,12]","[4520,4667,5006,5135,5573,5711,8649,8803,9199,9353,9661,9798,10575,10763,11247,11386,12656,14559,14719,16462,16607]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select""]","[""stimuli/c1_sup6.jpg""]","18760"
"","","html-button-response","10","2.0.0","115542","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c2_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>","","3-item","vehicles","subordinate","[""stimuli/c2_sub5.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub4.jpg""]","[1,1,6,6,10,10,18,18]","[2011,3396,4106,4251,5053,5185,6496,6691]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect""]","[]","7577"
"","","html-button-response","11","2.0.0","125771","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c3_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some zoms. Can you give Mr. Frog all the other zoms?</p>
                                 <p>Click on all of the zoms below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the zoms.</p>","","3-item","animals","basic","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas4.jpg""]","[2,2,0,0,7,7,18,18]","[2001,2197,3781,3937,4423,4550,6528,6674]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect""]","[]","10227"
"","","html-button-response","12","2.0.0","131559","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c1_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some rifs. Can you give Mr. Frog all the other rifs?</p>
                                 <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the rifs.</p>","","3-item","vegetables","basic","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas3.jpg""]","[15,15,5,5,21,21,20,20]","[1955,2094,2636,2782,4085,4229,4643,4790]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect""]","[]","5785"
"","","html-button-response","13","2.0.0","149799","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some wugs. Can you give Mr. Frog all the other wugs?</p>
                                 <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the wugs.</p>","","3-item","vehicles","superordinate","[""stimuli/c2_bas3.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sub5.jpg""]","[4,4,10,10,11,11,6,6,19,19]","[3290,3435,3889,4035,4428,4602,5330,5484,6666,6828]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect"",""select"",""unselect""]","[]","18235"
"","","html-button-response","14","2.0.0","213958","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c1_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tobs. Can you give Mr. Frog all the other tobs?</p>
                                 <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tobs.</p>","","3-item","vegetables","subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas3.jpg""]","[15,15,18,18,9,9]","[1413,1526,5154,5292,6076,6223]","[""select"",""unselect"",""select"",""unselect"",""select"",""unselect""]","[]","64157"
"","","html-button-response","15","2.0.0","379507","puq2nv5pqh4","llama","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some feps. Can you give Mr. Frog all the other feps?</p>
                                 <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the feps.</p>","","3-item","animals","subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sub5.jpg""]","[11,11,22,22]","[163442,163620,164585,164732]","[""select"",""unselect"",""select"",""unselect""]","[]","165548"
